ts,frame_idx,ok,bbox,offx,offy
1764760992.771834,385,1,None,,
1764760992.791838,386,1,None,,
1764760992.811841,387,1,None,,
1764760992.831838,388,1,None,,
1764760992.851839,389,1,None,,
1764760992.871828,390,1,None,,
1764760992.945882,391,1,None,,
1764760992.952048,392,1,None,,
1764760992.972159,393,1,None,,
1764760992.992163,394,1,None,,
1764760993.012038,395,1,None,,
1764760993.032017,396,1,None,,
1764760993.052000,397,1,None,,
1764760993.071980,398,1,None,,
1764760993.091973,399,1,None,,
1764760993.112031,400,1,None,,
1764760993.186226,401,1,None,,
1764760993.192008,402,1,None,,
1764760993.212141,403,1,None,,
1764760993.232117,404,1,None,,
1764760993.252170,405,1,None,,
1764760993.272009,406,1,None,,
1764760993.292078,407,1,None,,
1764760993.312028,408,1,None,,
1764760993.331976,409,1,None,,
1764760993.352177,410,1,None,,
1764760993.398273,411,1,None,,
1764760993.411874,412,1,None,,
1764760993.431863,413,1,None,,
1764760993.451869,414,1,None,,
1764760993.471859,415,1,None,,
1764760993.491825,416,1,None,,
1764760993.511880,417,1,None,,
1764760993.531804,418,1,None,,
1764760993.551835,419,1,None,,
1764760993.571901,420,1,None,,
1764760993.613194,421,1,None,,
1764760993.631896,422,1,None,,
1764760993.651869,423,1,None,,
1764760993.671915,424,1,None,,
1764760993.692792,425,1,None,,
1764760993.711742,426,1,None,,
1764760993.731795,427,1,None,,
1764760993.751870,428,1,None,,
1764760993.772260,429,1,None,,
1764760993.791889,430,1,None,,
1764760993.861717,431,1,None,,
1764760993.872050,432,1,None,,
1764760993.892165,433,1,None,,
1764760993.912030,434,1,None,,
1764760993.932036,435,1,None,,
1764760993.952034,436,1,None,,
1764760993.971972,437,1,None,,
1764760993.992064,438,1,None,,
1764760994.012048,439,1,None,,
1764760994.032166,440,1,None,,
1764760994.078960,441,1,None,,
1764760994.091908,442,1,None,,
1764760994.111902,443,1,None,,
1764760994.131913,444,1,None,,
1764760994.151903,445,1,None,,
1764760994.171912,446,1,None,,
1764760994.191913,447,1,None,,
1764760994.211842,448,1,None,,
1764760994.231837,449,1,None,,
1764760994.251865,450,1,None,,
1764760994.324912,451,1,None,,
1764760994.331990,452,1,None,,
1764760994.352115,453,1,None,,
1764760994.372149,454,1,None,,
1764760994.392197,455,1,None,,
1764760994.412093,456,1,None,,
1764760994.432165,457,1,None,,
1764760994.452152,458,1,None,,
1764760994.472152,459,1,None,,
1764760994.492076,460,1,None,,
1764760994.570598,461,1,None,,
1764760994.575049,462,1,None,,
1764760994.591911,463,1,None,,
1764760994.612140,464,1,None,,
1764760994.632016,465,1,None,,
1764760994.652043,466,1,None,,
1764760994.672064,467,1,None,,
1764760994.692076,468,1,None,,
1764760994.712068,469,1,None,,
1764760994.732043,470,1,None,,
1764760994.814572,471,1,None,,
1764760994.832132,472,1,None,,
1764760994.852119,473,1,None,,
1764760994.872180,474,1,None,,
1764760994.892156,475,1,None,,
1764760994.912139,476,1,None,,
1764760994.932063,477,1,None,,
1764760994.953067,478,1,None,,
1764760994.971920,479,1,None,,
1764760994.992124,480,1,None,,
1764760995.073239,481,1,None,,
1764760995.092141,482,1,None,,
1764760995.112175,483,1,None,,
1764760995.132153,484,1,None,,
1764760995.152137,485,1,None,,
1764760995.172085,486,1,None,,
1764760995.192132,487,1,None,,
1764760995.212038,488,1,None,,
1764760995.232156,489,1,None,,
1764760995.252140,490,1,None,,
1764760995.324814,491,1,None,,
1764760995.332045,492,1,None,,
1764760995.352059,493,1,None,,
1764760995.372066,494,1,None,,
1764760995.392151,495,1,None,,
1764760995.412155,496,1,None,,
1764760995.432093,497,1,None,,
1764760995.452057,498,1,None,,
1764760995.472080,499,1,None,,
1764760995.492082,500,1,None,,
1764760995.537259,501,1,None,,
1764760995.551846,502,1,None,,
1764760995.571884,503,1,None,,
1764760995.591863,504,1,None,,
1764760995.611761,505,1,None,,
1764760995.631860,506,1,None,,
1764760995.651849,507,1,None,,
1764760995.671900,508,1,None,,
1764760995.691859,509,1,None,,
1764760995.711822,510,1,None,,
1764760995.754381,511,1,None,,
1764760995.771914,512,1,None,,
1764760995.791923,513,1,None,,
1764760995.811916,514,1,None,,
1764760995.831902,515,1,None,,
1764760995.851915,516,1,None,,
1764760995.871869,517,1,None,,
1764760995.891901,518,1,None,,
1764760995.911972,519,1,None,,
1764760995.931842,520,1,None,,
1764760995.974620,521,1,None,,
1764760995.991838,522,1,None,,
1764760996.011845,523,1,None,,
1764760996.031851,524,1,None,,
1764760996.051862,525,1,None,,
1764760996.071863,526,1,None,,
1764760996.091820,527,1,None,,
1764760996.111832,528,1,None,,
1764760996.131831,529,1,None,,
1764760996.151860,530,1,None,,
1764760996.226480,531,1,None,,
1764760996.231923,532,1,None,,
1764760996.252160,533,1,None,,
1764760996.272073,534,1,None,,
1764760996.292068,535,1,None,,
1764760996.311980,536,1,None,,
1764760996.331973,537,1,None,,
1764760996.352065,538,1,None,,
1764760996.372021,539,1,None,,
1764760996.391975,540,1,None,,
1764760996.437296,541,1,None,,
1764760996.451860,542,1,None,,
1764760996.471849,543,1,None,,
1764760996.491849,544,1,None,,
1764760996.511882,545,1,None,,
1764760996.531841,546,1,None,,
1764760996.551855,547,1,None,,
1764760996.571843,548,1,None,,
1764760996.591846,549,1,None,,
1764760996.611850,550,1,None,,
1764760996.655525,551,1,None,,
1764760996.671859,552,1,None,,
1764760996.691864,553,1,None,,
1764760996.711857,554,1,None,,
1764760996.731822,555,1,None,,
1764760996.751839,556,1,None,,
1764760996.771833,557,1,None,,
1764760996.791844,558,1,None,,
1764760996.811862,559,1,None,,
1764760996.831851,560,1,None,,
1764760996.900646,561,1,None,,
1764760996.912033,562,1,None,,
1764760996.932141,563,1,None,,
1764760996.952168,564,1,None,,
1764760996.972154,565,1,None,,
1764760996.992149,566,1,None,,
